FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE,geometry,index_right,NOMBDEP,NOMBPROV,NOMBDIST,UBIGEO
19630829,153031,-7.1,-81.6,23,7.0,20223006,POINT (-81.6 -7.1),,,,,
19630831,103030,-15.9,-74.4,53,4.6,20223006,POINT (-74.4 -15.9),,,,,
19630902,41018,-14.1,-76.4,41,4.9,20223006,POINT (-76.4 -14.1),,,,,
19630910,73608,-14.6,-73.6,176,4.5,20223006,POINT (-73.6 -14.6),619.0,AYACUCHO,PARINACOCHAS,CORACORA,050701
19630917,55436,-10.783,-78.269,61,6.7,20223006,POINT (-78.269 -10.783),,,,,
19630920,40036,-11.3,-77.6,33,4.9,20223006,POINT (-77.6 -11.3),1841.0,LIMA,HUAURA,HUACHO,150801
19630924,163016,-10.754,-78.239,80,6.2,20223006,POINT (-78.239 -10.754),,,,,
19631006,121047,-9.0,-75.0,82,4.6,20223006,POINT (-75 -9),297.0,HUANUCO,PUERTO INCA,TOURNAVISTA,100904
19631007,124353,-12.9,-76.8,69,5.7,20223006,POINT (-76.8 -12.9),,,,,
19631019,21417,-18.3,-71.2,78,4.9,20223006,POINT (-71.2 -18.3),,,,,
19631027,74526,-14.7,-71.7,121,4.7,20223006,POINT (-71.7 -14.7),892.0,CUSCO,ESPINAR,COPORAQUE,080803
19631028,25030,-13.6,-76.9,38,4.6,20223006,POINT (-76.9 -13.6),,,,,
19631030,11731,-4.8,-77.9,20,5.6,20223006,POINT (-77.9 -4.8),1124.0,AMAZONAS,CONDORCANQUI,NIEVA,010401
19631031,231915,-4.9,-77.7,60,4.9,20223006,POINT (-77.7 -4.9),1372.0,LORETO,DATEM DEL MARAÑON,MANSERICHE,160703
19631102,160713,-12.5,-74.7,105,4.8,20223006,POINT (-74.7 -12.5),1061.0,HUANCAVELICA,TAYACAJA,QUICHUAS,090719
19631103,31012,-3.5,-77.8,18,6.2,20223006,POINT (-77.8 -3.5),1348.0,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,010403
19631103,42448,-4.3,-78.3,146,4.7,20223006,POINT (-78.3 -4.3),1347.0,AMAZONAS,CONDORCANQUI,EL CENEPA,010402
19631103,73810,-15.6,-73.3,112,5.2,20223006,POINT (-73.3 -15.6),1662.0,AREQUIPA,CARAVELI,CAHUACHO,040306
19631103,120228,-3.7,-78.3,33,4.9,20223006,POINT (-78.3 -3.7),1347.0,AMAZONAS,CONDORCANQUI,EL CENEPA,010402
19631104,32930,-15.0,-75.8,52,4.5,20223006,POINT (-75.8 -15),,,,,
19631106,10107,-12.8,-73.9,86,4.9,20223006,POINT (-73.9 -12.8),1696.0,AYACUCHO,LA MAR,AYNA,050503
19631106,12846,-4.2,-77.7,170,4.6,20223006,POINT (-77.7 -4.2),1348.0,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,010403
